Column1,Player_Name,POS_x,years_exp,round,pick_no,current_owner,keeper_round,Draft_Position,Odd_Pick_Order,Even_Pick_Order,Team_x,FP_MFL,FP_FFC,FP_Sleeper,Pos,RV_Dyn_Avg,Overall_ADP,Overall_ADP_StDev,Overall_Dynasty_ADP,Overall_Dynasty_ADP_StDev,keep_pick_num,Overall_Rank,Overall_Value
15,Patrick Mahomes,QB,4,10,93,tweet011,7,9,9,2,KC,15,24,15,QB,14.08,21.375,2.05649378,19.74,8.004448763,79,20.5575,58.4425
51,Chase Claypool,WR,1,,,tweet011,12,9,9,2,PIT,72,65,72,WR,65.01,67.775,4.946631851,62.655,3.330472939,122,65.215,56.785
129,Mike Davis,RB,6,,,magicpajcic,12,10,10,1,ATL,56,44,66,RB,80.34,50.15,11.92015101,89.82,13.40674457,121,69.985,51.015
118,Kareem Hunt,RB,4,10,98,brisbois19,10,2,2,9,CLE,59,59,52,RB,65.77,53,3.829708431,65.235,0.756604256,109,59.1175,49.8825
87,Darrell Henderson,RB,2,16,155,MAPavoloni,12,5,5,6,LAR,61,47,45,RB,104.46,59.1,18.96066103,95.68,12.41679508,126,77.39,48.61
14,Courtland Sutton,WR,3,13,126,Conorrich,11,8,8,3,DEN,80,86,80,WR,71.9,75.575,5.303065151,63.4,12.02081528,118,69.4875,48.5125
102,George Kittle,TE,4,10,96,Rioman,7,3,3,8,SF,28,30,23,TE,30.61,27.675,2.712163958,29.105,2.128391411,73,28.39,44.61
76,Diontae Johnson,WR,2,10,92,FillJoo,9,4,4,7,PIT,53,45,59,WR,57.57,50.025,1.367174702,52.535,7.120565287,94,51.28,42.72
6,Robert Woods,WR,8,8,78,brisbois19,8,2,2,9,LAR,39,36,48,WR,59.93,37.325,1.556438242,57.065,4.051721856,89,47.195,41.805
74,Jeffery Wilson,RB,3,,,9johnb,12,7,7,4,,,,,RB,168.68,,,168.68,,124,84.34,39.66
56,Robby Anderson,WR,5,,,tyso0042,12,1,1,10,CAR,83,76,81,WR,105.84,75.825,5.390346309,108.27,3.436538957,130,92.0475,37.9525
53,Chase Edmonds,RB,3,11,103,brisbois19,10,2,2,9,ARI,58,62,70,RB,74.5,57.95,3.121431296,84.25,13.78858223,109,71.1,37.9
22,Austin Ekeler,RB,4,8,80,9johnb,5,7,7,4,LAC,12,8,13,RB,25.81,10.775,2.206618831,28.505,3.811305551,57,19.64,37.36
58,AJ Dillon,RB,1,12,113,tyso0042,12,1,1,10,GB,108,80,112,RB,93.69,97.075,14.86906744,91.595,2.962777413,130,94.335,35.665
71,Alvin Kamara,RB,4,7,70,magicpajcic,3,10,10,1,NO,3,3,3,RB,5.64,3.225,0.45,6.37,1.032375901,40,4.7975,35.2025
124,Mike Evans,WR,7,7,64,kiwirado,7,6,6,5,TB,30,38,33,WR,48.28,36.875,3.837859647,44.79,4.935605333,76,40.8325,35.1675
94,Derrick Henry,RB,5,7,66,Conorrich,4,8,8,3,TEN,4,5,4,RB,10.38,3.85,0.3,13.04,3.761808076,43,8.445,34.555
89,JK Dobbins,RB,1,5,43,tyso0042,5,1,1,10,,,,,RB,27.17,,,34.035,9.708576106,51,17.0175,33.9825
103,Logan Thomas,TE,7,,,Rioman,12,3,3,8,WAS,76,71,104,TE,105.22,75.275,9.891199792,113.56,11.79454111,128,94.4175,33.5825
107,Laviska Shenault,WR,1,,,magicpajcic,12,10,10,1,JAC,98,84,95,WR,88.62,91.175,4.145981991,88.16,0.650538239,121,89.6675,31.3325
62,Kyler Murray,QB,2,9,83,brisbois19,7,2,2,9,ARI,37,43,35,QB,36.24,41.25,2.986078811,41.17,6.972072862,72,41.21,30.79
5,Zack Moss,RB,1,6,54,brisbois19,12,2,2,9,BUF,106,87,109,RB,106.73,93.225,14.89303528,103.565,4.475985925,129,98.395,30.605
39,Jerry Jeudy,WR,1,9,82,tyso0042,8,1,1,10,DEN,74,66,76,WR,64.27,70.5,3.31662479,56.385,11.15107394,90,63.4425,26.5575
42,Noah Fant,TE,2,11,109,FillJoo,10,4,4,7,DEN,94,82,73,TE,79.03,81.925,3.9101364,80.115,1.534421715,107,81.02,25.98
117,Will Fuller,WR,5,4,39,brisbois19,12,2,2,9,MIA,122,136,114,WR,117.54,101.775,14.5075555,104.67,18.20092855,129,103.2225,25.7775
84,CeeDee Lamb,WR,1,6,58,brisbois19,5,2,2,9,DAL,34,32,42,WR,24.95,31.45,2.505327657,21.575,4.772970773,52,26.5125,25.4875
37,Ryan Tannehill,QB,9,,,Rioman,12,3,3,8,TEN,81,98,98,QB,104.69,94.725,5.582935309,110.445,8.138799051,128,102.585,25.415
79,Gus Edwards,RB,3,,,FillJoo,12,4,4,7,BAL,86,49,68,RB,130.95,69.875,30.21140789,133.375,3.429467889,127,101.625,25.375
138,Michael Pittman,WR,1,14,139,brisbois19,12,2,2,9,IND,115,106,113,WR,100.22,109.15,17.34618114,98.91,1.852619767,129,104.03,24.97
136,Kenny Golladay,WR,4,12,119,tyso0042,9,1,1,10,NYG,77,91,64,WR,74.36,69.65,5.159780357,63.03,16.02303966,91,66.34,24.66
90,DK Metcalf,WR,2,3,30,magicpajcic,3,10,10,1,SEA,18,20,17,WR,13.68,19.325,1.556438242,11.74,2.743574311,40,15.5325,24.4675
2,Corey Davis,WR,4,,,Rioman,12,3,3,8,NYJ,93,93,110,WR,116.98,96.525,8.704548619,110.69,8.895403307,128,103.6075,24.3925
128,Tom Brady,QB,21,10,99,Rioman,12,3,3,8,TB,68,81,75,QB,119.48,73.825,8.20909049,139.09,27.73272796,128,106.4575,21.5425
113,Raheem Mostert,RB,6,12,114,MAPavoloni,10,5,5,6,SF,66,63,74,RB,98.44,65.15,11.25862632,104.27,8.244865069,106,84.71,21.29
115,Jalen Hurts,QB,1,,,tweet011,12,9,9,2,PHI,89,104,107,QB,94.46,95.8,1.720465053,107.23,18.05950719,122,101.515,20.485
26,DAndre Swift,RB,1,5,42,tyso0042,4,1,1,10,DET,41,35,31,RB,24.72,35.525,5.963989157,24.06,0.933380951,50,29.7925,20.2075
121,Brandin Cooks,WR,7,8,76,magicpajcic,12,10,10,1,HOU,84,110,94,WR,107.9,93.05,11.28465034,109.1,1.697056275,121,101.075,19.925
127,Antonio Gibson,RB,1,4,40,9johnb,3,7,7,4,WAS,20,16,21,RB,22.96,15.875,1.547847968,21.18,2.517300141,37,18.5275,18.4725
55,Stefon Diggs,WR,6,4,36,Rioman,3,3,3,8,BUF,14,14,14,WR,17.59,14.275,0.55,15.845,2.467802666,33,15.06,17.94
120,Robert Tonyan,TE,4,,,magicpajcic,12,10,10,1,GB,87,88,96,TE,114.4,91.725,7.89319327,115.05,0.919238816,121,103.3875,17.6125
77,Darren Waller,TE,6,5,41,9johnb,4,7,7,4,LV,22,22,26,TE,31.9,22,0.816496581,35.45,5.020458146,44,28.725,15.275
122,James Conner,RB,4,14,137,kiwirado,12,6,6,5,ARI,100,101,100,RB,124.44,97.65,10.1631688,121.92,3.563818177,125,109.785,15.215
88,Jarvis Landry,WR,7,6,59,Conorrich,12,8,8,3,CLE,91,123,91,WR,117.47,105.125,14.96871738,114.685,3.938584771,123,109.905,13.095
38,Aaron Jones,RB,4,5,49,FillJoo,2,4,4,7,GB,7,7,12,RB,19.93,9.65,2.087262961,19.315,0.869741341,27,14.4825,12.5175
125,David Montgomery,RB,2,5,45,Rioman,4,3,3,8,CHI,32,27,36,RB,42.19,27.95,3.59768444,43.245,1.491995308,48,35.5975,12.4025
70,AJ Brown,WR,2,3,22,tyso0042,2,1,1,10,TEN,26,25,22,WR,17.04,24.45,1.715614564,13.97,4.341635636,30,19.21,10.79
7,Tony Pollard,RB,2,13,129,brisbois19,12,2,2,9,DAL,138,108,141,RB,118.72,124.25,25.01166395,112.96,8.145870119,129,118.605,10.395
109,DJ Chark,WR,3,11,101,9johnb,9,7,7,4,JAC,95,118,77,WR,80.85,97.425,13.74005701,77.025,5.409366876,97,87.225,9.775
72,Nick Chubb,RB,3,5,50,magicpajcic,2,10,10,1,CLE,10,11,7,RB,13.49,10.225,2.098213526,12.795,0.982878426,21,11.51,9.49
46,Jalen Reagor,WR,1,15,142,tyso0042,14,1,1,10,PHI,174,,190,WR,130.55,155,5.196152423,127.725,3.995153314,150,141.3625,8.6375
23,Keenan Allen,WR,8,4,31,magicpajcic,3,10,10,1,LAC,25,26,27,WR,42.68,27.675,0.942956344,41.24,2.03646753,40,34.4575,5.5425
1,Calvin Ridley,WR,3,3,21,9johnb,2,7,7,4,ATL,19,18,20,WR,22.97,18.675,0.942956344,18.735,5.989194437,24,18.705,5.295
131,JuJu SmithSchuster,WR,4,7,62,9johnb,7,7,7,4,PIT,64,85,69,WR,72.36,72.75,10.62622542,70.78,2.234457429,77,71.765,5.235
13,Aaron Rodgers,QB,16,9,90,magicpajcic,8,10,10,1,GB,50,61,60,QB,81.5,60.65,9.191844211,91.5,14.14213562,81,76.075,4.925
134,Allen Robinson,WR,7,5,48,tweet011,3,9,9,2,CHI,33,33,32,WR,43.38,31.65,2.087262961,37.34,8.541849917,39,34.495,4.505
130,Tyreek Hill,WR,5,6,56,Rioman,1,3,3,8,KC,8,10,8,WR,10.72,11.475,1.92418814,9.16,2.206173157,13,10.3175,2.6825
47,Cam Akers,RB,1,4,34,brisbois19,3,2,2,9,,,,,RB,49.93,,,60.565,15.04016124,32,30.2825,1.7175
0,Michael Thomas,WR,5,6,51,Conorrich,6,8,8,3,NO,73,73,63,WR,47.56,78.75,10.21028893,45.33,3.153696244,63,62.04,0.96
40,Deebo Samuel,WR,2,8,73,9johnb,8,7,7,4,SF,88,97,83,WR,87.25,85.15,6.342186794,83.825,4.843681451,84,84.4875,-0.4875
82,DeAndre Hopkins,WR,8,2,11,magicpajcic,1,10,10,1,ARI,17,17,16,WR,25.93,17.525,1.304798835,23.515,3.415325753,20,20.52,-0.52
49,Ronald Jones,RB,3,9,85,Rioman,8,3,3,8,TB,90,79,84,RB,94.41,86.7,20.19471878,91.905,3.542604974,88,89.3025,-1.3025
69,Jamaal Williams,RB,4,,,Rioman,12,3,3,8,DET,114,94,134,RB,143.28,108,14.76482306,152.29,12.7420642,128,130.145,-2.145
18,Nyheim Hines,RB,3,,,FillJoo,12,4,4,7,IND,139,121,124,RB,142.84,118.875,13.51773526,141.67,1.654629868,127,130.2725,-3.2725
108,Lynn Bowden,WR,1,,,tyso0042,12,1,1,10,,,,,,,,,266.8,,130,133.4,-3.4
35,Odell Beckham,WR,7,8,74,MAPavoloni,6,5,5,6,CLE,70,70,65,WR,85.07,68.175,5.071735403,78.485,9.312596308,66,73.33,-7.33
43,Baker Mayfield,QB,3,,,Conorrich,12,8,8,3,CLE,125,139,131,QB,125.23,140.4,11.69501318,131.165,8.393357493,123,135.7825,-12.7825
32,Marvin Jones,WR,9,9,84,FillJoo,12,4,4,7,JAC,117,131,145,WR,154.03,122.25,11.41271221,164.615,14.96945056,127,143.4325,-16.4325
34,JD McKissic,RB,5,,,tyso0042,12,1,1,10,WAS,132,119,163,RB,155.33,132.375,18.54442863,162.615,10.3025458,130,147.495,-17.495
66,Marquise Brown,WR,2,12,120,9johnb,10,7,7,4,BAL,137,151,120,WR,122.31,122.75,13.22560648,121.905,0.572756493,104,122.3275,-18.3275
139,Duke Johnson,RB,6,14,133,Conorrich,12,8,8,3,,,,,,,,,287.3,,123,143.65,-20.65
106,Tyler Boyd,WR,5,7,67,MAPavoloni,6,5,5,6,CIN,78,100,102,WR,92.84,86.475,6.959585716,88.07,6.745798693,66,87.2725,-21.2725
8,Kirk Cousins,QB,9,,,tyso0042,12,1,1,10,MIN,124,189,166,QB,147.99,153.7,16.05698187,153.545,7.855956339,130,153.6225,-23.6225
41,Chris Godwin,WR,4,2,12,FillJoo,1,4,4,7,TB,40,48,44,WR,41.91,41.875,2.393567769,36.455,7.714534983,14,39.165,-25.165
140,Devin Singletary,RB,2,11,102,tyso0042,9,1,1,10,BUF,105,99,119,RB,125.8,110.1,19.57992169,124.65,1.626345597,91,117.375,-26.375
78,Mark Andrews,TE,3,3,27,tyso0042,2,1,1,10,BAL,57,53,47,TE,54.57,53,6.164414003,59.785,7.375123728,30,56.3925,-26.3925
36,Amari Cooper,WR,6,2,17,kiwirado,1,6,6,5,DAL,44,40,43,WR,52.32,40.175,2.292560432,44.66,10.83287589,16,42.4175,-26.4175
111,DJ Moore,WR,3,2,20,9johnb,1,7,7,4,CAR,52,60,50,WR,43.5,51.875,5.48292805,38.9,6.505382387,17,45.3875,-28.3875
100,Cooper Kupp,WR,4,3,23,kiwirado,2,6,6,5,LAR,51,42,46,WR,66.32,45.8,2.103964512,61.26,7.155920626,25,53.53,-28.53
143,Russell Wilson,QB,9,4,37,kiwirado,3,6,6,5,SEA,49,68,49,QB,61.89,62.75,7.088723439,67.945,8.56306312,36,65.3475,-29.3475
31,Tyler Lockett,WR,6,3,25,Rioman,2,3,3,8,SEA,54,51,53,WR,73.76,47.95,2.734349405,69.33,6.264966081,28,58.64,-30.64
24,Rashaad Penny,RB,3,,,brisbois19,12,2,2,9,SEA,,156,202,RB,162.87,153.6,23.1317963,167.085,5.960910165,129,160.3425,-31.3425
52,Lamar Jackson,QB,3,2,14,MAPavoloni,1,5,5,6,BAL,38,52,41,QB,39.29,49.15,6.139218191,47.445,11.5329116,15,48.2975,-33.2975
119,Latavius Murray,RB,8,10,97,tyso0042,12,1,1,10,NO,163,145,169,RB,170.67,149.75,38.48268009,179.635,12.67842459,130,164.6925,-34.6925
85,Cole Kmet,TE,1,,,brisbois19,12,2,2,9,CHI,,,198,TE,142.09,193.3333333,5.507570547,135.795,8.902474375,129,164.5641667,-35.56416667
105,Cole Beasley,WR,9,,,tweet011,12,9,9,2,BUF,101,177,160,WR,153.55,139.625,15.0187383,185.925,45.78516408,122,162.775,-40.775
83,Adam Thielen,WR,8,2,15,Conorrich,1,8,8,3,MIN,47,56,51,WR,69.52,49.675,7.621624936,76.66,10.09748484,18,63.1675,-45.1675
97,Tyler Higbee,TE,5,8,77,kiwirado,7,6,6,5,LAR,104,95,111,TE,128.34,113.15,8.669294473,133.87,7.820601,76,123.51,-47.51
92,Leonard Fournette,RB,4,5,44,kiwirado,4,6,6,5,TB,79,96,79,RB,97.35,86.675,0.942956344,105.975,12.19759198,45,96.325,-51.325
29,Derek Carr,QB,7,,,Conorrich,12,8,8,3,LV,151,,212,QB,168.29,177.3333333,4.163331999,171.645,4.744686502,123,174.4891667,-51.48916667
11,Ben Roethlisberger,QB,17,,,FillJoo,12,4,4,7,PIT,143,158,192,QB,184.87,158.925,8.178579746,220.785,50.79148009,127,189.855,-62.855
104,Melvin Gordon,RB,6,3,28,tweet011,2,9,9,2,DEN,75,75,78,RB,97.16,82.575,11.39250485,99.88,3.84666089,22,91.2275,-69.2275
133,Christian Kirk,WR,3,11,104,kiwirado,10,6,6,5,ARI,,,215,WR,178.68,178.5,6.363961031,172.49,8.753981951,105,175.495,-70.495
67,DeVante Parker,WR,6,6,53,tweet011,5,9,9,2,MIA,140,194,148,WR,142.56,136.45,20.46484791,136.38,8.739839815,59,136.415,-77.415
27,Sammy Watkins,WR,7,15,149,FillJoo,14,4,4,7,BAL,,,203,WR,210,240.5,27.57716447,220.45,14.77853173,147,230.475,-83.475
54,Denzel Mims,WR,1,,,magicpajcic,12,10,10,1,NYJ,,,266,WR,150.37,252,0,157.285,9.779286784,121,204.6425,-83.6425
12,Hunter Henry,TE,5,6,57,kiwirado,5,6,6,5,NE,161,170,140,TE,139.92,147.475,20.07409193,135.81,5.812417741,56,141.6425,-85.6425
10,Matt Ryan,QB,13,6,60,9johnb,5,7,7,4,ATL,121,137,161,QB,149.75,134.275,14.68227389,151.425,2.368807717,57,142.85,-85.85
9,Jamison Crowder,WR,6,11,106,Conorrich,10,8,8,3,NYJ,,,219,WR,183.38,204,61.87891402,186.24,4.044650788,103,195.12,-92.12
96,Allen Lazard,WR,3,,,magicpajcic,12,10,10,1,GB,,,243,WR,199.44,218.5,9.192388155,211.17,16.58872509,121,214.835,-93.835
64,Evan Engram,TE,4,5,47,MAPavoloni,4,5,5,6,NYG,154,174,149,TE,132.82,148.325,10.88833474,135.76,4.157787873,46,142.0425,-96.0425
16,Eric Ebron,TE,7,,,magicpajcic,12,10,10,1,PIT,,,221,TE,200.81,225.6666667,59.70203793,211.205,14.70074998,121,218.4358333,-97.43583333
28,Kenyan Drake,RB,5,3,29,FillJoo,1,4,4,7,LV,120,107,103,RB,127.23,101.75,3.593976442,122.565,6.597306268,14,112.1575,-98.1575
110,Darius Slayton,WR,2,12,115,Conorrich,11,8,8,3,NYG,,,262,WR,183.59,257.5,0.707106781,181.695,2.679934701,118,219.5975,-101.5975
45,Anthony McFarland,RB,1,14,140,kiwirado,12,6,6,5,PIT,,,,RB,208.46,229,,224.48,22.65570127,125,226.74,-101.74
68,Benny Snell,RB,2,16,158,9johnb,12,7,7,4,PIT,,,,RB,203.06,234,28.28427125,221.03,25.41341772,124,227.515,-103.515
63,Deshaun Watson,QB,4,6,52,FillJoo,5,4,4,7,HOU,164,,150,QB,95.44,207.825,47.09057761,108.62,18.63933475,54,158.2225,-104.2225
4,Cam Newton,QB,10,14,131,MAPavoloni,12,5,5,6,QB32,,225,,QB,194.84,247.5,0.707106781,234.37,55.90386212,126,240.935,-114.935
93,Wayne Gallman,RB,4,,,MAPavoloni,12,5,5,6,ATL,,,,RB,212.14,263,46.66904756,224.32,17.22512119,126,243.66,-117.66
20,Teddy Bridgewater,QB,7,,,9johnb,12,7,7,4,DEN,,,,QB,193.15,255.3333333,41.35617648,229.475,51.37130765,124,242.4041667,-118.4041667
132,LeVeon Bell,RB,8,2,19,brisbois19,12,2,2,9,RB76,,254,,RB,236.5,247,5.656854249,248.75,17.32411614,129,247.875,-118.875
101,Rob Gronkowski,TE,11,5,46,Conorrich,4,8,8,3,TB,145,140,87,TE,179.33,130.625,14.03195757,201.015,30.6672211,43,165.82,-122.82
81,Marlon Mack,RB,4,7,69,FillJoo,6,4,4,7,IND,,,218,RB,187.89,190.7,28.69268199,191.045,4.461843789,67,190.8725,-123.8725
30,Keke Coutee,WR,3,,,kiwirado,12,6,6,5,IND,,,,WR,217.52,271,,244.91,38.73530947,125,257.955,-132.955
3,Zach Ertz,TE,8,3,26,Conorrich,2,8,8,3,PHI,147,180,162,TE,161.16,167.425,7.196469042,168.38,10.21062192,23,167.9025,-144.9025
75,Hayden Hurst,TE,3,8,72,FillJoo,7,4,4,7,ATL,,,257,TE,193.68,246.5,51.61879503,203.49,13.87343505,74,224.995,-150.995
114,TY Hilton,WR,9,4,35,Conorrich,3,8,8,3,IND,,,175,WR,176.55,202,32.41913015,188.075,16.29881131,38,195.0375,-157.0375
65,Ito Smith,RB,3,,,Rioman,12,3,3,8,RB108,,336,,,,336,,333.9,,128,334.95,-206.95
61,Todd Gurley,RB,6,2,16,Rioman,1,3,3,8,RB65,,229.8,,RB,200.45,226,,224.625,34.18861287,13,225.3125,-212.3125
73,Adrian Peterson,RB,14,16,157,kiwirado,15,6,6,5,RB98,,338.5,,,,395,,365,,156,380,-224
21,Josh Jacobs,RB,2,1,6,Conorrich,,8,8,3,LV,36,37,29,RB,40.38,35.3,4.5563143,45.04,6.590235201,,40.17,
25,Davante Adams,WR,7,4,32,FillJoo,,4,4,7,GB,6,6,10,WR,13.93,6.5,0.577350269,11.915,2.849640328,,9.2075,
33,Travis Kelce,TE,8,2,13,tweet011,,9,9,2,KC,9,9,11,TE,19.6,8.2,0.909212113,19.1,0.707106781,,13.65,
44,Ezekiel Elliott,RB,5,1,3,MAPavoloni,,5,5,6,DAL,5,4,5,RB,17.12,5.85,1.445683229,19.01,2.672863633,,12.43,
48,Julio Jones,WR,10,1,9,FillJoo,,4,4,7,TEN,46,50,39,WR,67.54,48.05,5.254521862,65.77,2.503158005,,56.91,
60,Michael Gallup,WR,3,15,145,MAPavoloni,,5,5,6,DAL,111,143,121,WR,112.47,111.75,20.9503381,109.685,3.938584771,,110.7175,
80,Joe Mixon,RB,4,1,7,MAPavoloni,,5,5,6,CIN,21,19,19,RB,29.23,19.1,2.739829678,27.715,2.142533547,,23.4075,
91,David Johnson,RB,6,4,33,tweet011,,9,9,2,HOU,142,127,116,RB,138.23,118.975,16.59123765,143.765,7.827672068,,131.37,
95,Miles Sanders,RB,2,1,8,tweet011,,9,9,2,PHI,35,39,38,RB,40.61,37.45,2.1,43.505,4.094148263,,40.4775,
98,Christian McCaffrey,RB,4,1,1,9johnb,,7,7,4,CAR,1,1,1,RB,1.78,1.075,0.15,1.44,0.480832611,,1.2575,
123,Dalvin Cook,RB,4,1,4,kiwirado,,6,6,5,MIN,2,2,2,RB,4.25,2.125,0.25,4.225,0.035355339,,3.175,
135,Clyde EdwardsHelaire,RB,1,1,5,Rioman,,3,3,8,KC,23,21,25,RB,24.8,22.375,3.092329219,25.6,1.13137085,,23.9875,
142,Chris Carson,RB,4,1,10,magicpajcic,,10,10,1,SEA,29,29,34,RB,50.19,32.075,6.035105633,53.845,5.16895057,,42.96,
